"ctm_sauce_needs: Which of the following statements would you use to complete the sentence, 'I think of packaged sauces/pesto/tomato when....'",it_redsauce_respondent net relative,it_pesto_respondent net relative,it_tomato_respondent net relative,it_meat_respondent net relative,fr_redsauce_respondent net relative,fr_bolegnese_respondent net relative,fr_pesto_respondent net relative,fr_tomato_respondent net relative,de_redsauce_respondent net relative,de_pesto_respondent net relative,de_tomato_respondent net relative
I can't make it myself or takes too long to make,,13.58%,,,,,11.25%,,,,
I don't have time to make a sauce from scratch,32.14%,,,31.20%,25.33%,26.72%,,,30.97%,14.79%,
I have a craving for a pasta meal,16.55%,21.96%,23.31%,18.43%,23.57%,,32.60%,20.63%,,,
I have a craving for Italian food,,,,,13.71%,11.12%,24.48%,12.83%,19.58%,31.68%,23.24%
I have a craving for spaghetti bolognese,,,,,,31.62%,,,,,
I have a particular meal in mind,9.99%,12.31%,15.68%,12.59%,16.67%,12.54%,18.79%,23.98%,22.58%,25.39%,35.35%
I need an easy meal for the children,7.38%,10.01%,,6.93%,10.96%,12.98%,7.54%,,11.19%,8.83%,
"I need something as a salad dressing; topping for bread; for marinating (meat, fish vegetables).",,,,,,,,,,9.05%,
I need something easy to prepare,32.96%,35.01%,21.33%,31.93%,30.26%,28.24%,25.64%,23.23%,28.57%,27.70%,26.37%
I need something for an everyday meal,18.57%,17.28%,,16.79%,9.21%,10.03%,11.02%,,13.49%,13.47%,
I need something others in the house can cook easily,15.88%,14.24%,,15.33%,9.76%,9.27%,6.38%,,11.19%,12.03%,
I need something that can stay in the cupboard for longer,22.37%,14.09%,25.28%,22.45%,21.27%,19.74%,15.55%,23.05%,18.18%,15.34%,26.37%
I need something versatile,16.55%,15.88%,14.55%,18.25%,15.90%,10.14%,14.50%,18.77%,7.19%,12.14%,9.96%
I need to make a quick and easy meal,40.19%,44.51%,24.01%,39.05%,33.22%,34.46%,29.93%,30.48%,39.66%,33.33%,33.40%
I need to stock up on food,13.72%,7.64%,19.92%,14.78%,8.11%,6.65%,6.50%,8.36%,19.98%,15.78%,14.84%
I want something to go with pasta,23.42%,29.01%,,23.91%,29.93%,30.86%,37.01%,,25.87%,32.01%,
I want to make a pasta sauce,,,35.59%,,,,,26.21%,,,28.32%
It's an ingredient I use a lot,,,32.34%,,,,,18.40%,,,20.70%
Something not on this list,0.37%,0.59%,3.11%,0.36%,0.55%,0.33%,0.81%,3.90%,0.50%,0.88%,2.15%
When I have a BBQ or an occasion at home coming up,,,,,,,,,5.89%,9.60%,
When I need a good value for money option,17.97%,18.40%,18.36%,16.97%,14.25%,12.98%,12.41%,13.20%,14.69%,13.58%,16.02%
