jrn_trigger: What was your main reason for wanting to buy sweet biscuits?,fr_respondent net relative,de_respondent net relative,gr_respondent net relative,
I had a craving for biscuits,23.80%,18.92%,25.81%,22.84%
It was part of my grocery shopping,19.23%,13.50%,18.72%,17.15%
I discovered I had run out,11.57%,14.14%,14.33%,13.35%
I was preparing a shopping list,8.45%,7.77%,8.94%,8.38%
I noticed it in store while I was shopping,7.45%,12.65%,7.04%,9.05%
I noticed a promotion on a leaflet from the store,7.00%,4.68%,6.94%,6.21%
I was making plans for what snacks were needed,6.36%,6.03%,5.99%,6.13%
I was asked to buy it by someone in my household,5.41%,3.83%,3.34%,4.20%
We had friends/family visiting our home,3.48%,4.38%,2.80%,3.55%
My children were hungry,2.78%,3.44%,1.80%,2.67%
I needed to buy it for someone else,1.69%,2.24%,1.70%,1.88%
I noticed it being advertised,1.49%,4.23%,1.05%,2.26%
I had planned to visit someone,0.89%,2.34%,0.90%,1.38%
I saw it in the store newsletter/email,0.40%,1.84%,0.65%,0.96%
